name,link,price_usd,mark_price_usd,star_rating,colour,seller_name,review_count,sku_id,hero_image
"Women's Casual Sports Shoes, Fashionable Versatile Sneakers With Lace-Up Design",https://us.shein.com/Women-s-Casual-Sports-Shoes-Fashionable-Versatile-Sneakers-With-Lace-Up-Design-p-27987908.html?src_identifier=st%3D2%60sc%3Dshoes%60sr%3D0%60ps%3D1&src_module=search&src_tab_page_id=page_search1715957484388&mallCode=1&pageListType=4,$19.40,$24.40,4.83,: Khaki,Womens Shoes,(77 Reviews),SKU: sx2305270713671620,//img.ltwebstatic.com/images3_spmp/2023/12/19/17/1702965351e8864b90fcc603724cb3ff9a49242cac_thumbnail_900x.webp
"2024 New Spring/Autumn Women Breathable Mesh Hollow Out Thick Sole Platform Loafers, Casual Flat Shoes",https://us.shein.com/2024-New-Spring-Autumn-Women-Breathable-Mesh-Hollow-Out-Thick-Sole-Platform-Loafers-Casual-Flat-Shoes-p-33850288.html?src_identifier=st%3D2%60sc%3Dshoes%60sr%3D0%60ps%3D1&src_module=search&src_tab_page_id=page_search1715957484388&mallCode=1&pageListType=4,$14.90,$18.80,0,,Limeiya Factory,,SKU: sx2404088145930048,//img.ltwebstatic.com/images3_pi/2024/04/17/55/17133685495d9291da52faa5a5c425068740815088_thumbnail_900x.webp
Women's Casual Slip-on Flat Skate Shoes With Anti-slip Sole,https://us.shein.com/Women-s-Casual-Slip-on-Flat-Skate-Shoes-With-Anti-slip-Sole-p-22715362.html?src_identifier=st%3D2%60sc%3Dshoes%60sr%3D0%60ps%3D1&src_module=search&src_tab_page_id=page_search1715957484388&mallCode=1&pageListType=4,$7.50,$18.80,4.92,,Dawanfu,(66 Reviews),SKU: sx2309025401152825,//img.ltwebstatic.com/images3_pi/2023/09/04/a0/16938410316faa9ca1a1a6a9e960a024dbf702daf3_thumbnail_900x.webp
"Women Mesh Breathable Casual Shoes, Soft Non-Slip Sports Shoes, Ladies Walking Shoes For All Seasons",https://us.shein.com/Women-Mesh-Breathable-Casual-Shoes-Soft-Non-Slip-Sports-Shoes-Ladies-Walking-Shoes-For-All-Seasons-p-22144403.html?src_identifier=st%3D2%60sc%3Dshoes%60sr%3D0%60ps%3D1&src_module=search&src_tab_page_id=page_search1715957484388&mallCode=1&pageListType=4,$12.06,$21.30,0,: Purple,,(41 Reviews),SKU: sx2308191847675463,//img.ltwebstatic.com/images3_spmp/2023/08/19/a3/169243018141ff76d239753dff2b39aae903de9866_thumbnail_900x.webp
Women's Fashionable Casual Sneakers,https://us.shein.com/Women-s-Fashionable-Casual-Sneakers-p-28739720.html?src_identifier=st%3D2%60sc%3Dshoes%60sr%3D0%60ps%3D1&src_module=search&src_tab_page_id=page_search1715957484388&mallCode=1&pageListType=4,$13.53,$17.05,0,: Grey,,(100+ Reviews),SKU: sx2307234044444164,//img.ltwebstatic.com/images3_spmp/2023/12/31/c8/17040059268348aa34e78b4dd1ee850af2c853e512_thumbnail_900x.webp
"Sporty Chunky Sneakers For Women, Letter Graphic Lace-up Front Sneakers",https://us.shein.com/Sporty-Chunky-Sneakers-For-Women-Letter-Graphic-Lace-up-Front-Sneakers-p-14627802.html?src_identifier=st%3D2%60sc%3Dshoes%60sr%3D0%60ps%3D1&src_module=search&src_tab_page_id=page_search1715957484388&mallCode=1&pageListType=4,$21.30,$26.90,0,: White,,(500+ Reviews),SKU: sx2211274466519128,//img.ltwebstatic.com/images3_pi/2023/04/07/1680865086c0d039b5e451d040a77c52911b8abaea_thumbnail_900x.webp
Summer Women Casual Sports Shoes Slip-On Hollow-Out Thick-Soled Sneakers Fashion Low-Heel Shoes,https://us.shein.com/Summer-Women-Casual-Sports-Shoes-Slip-On-Hollow-Out-Thick-Soled-Sneakers-Fashion-Low-Heel-Shoes-p-33545215.html?src_identifier=st%3D2%60sc%3Dshoes%60sr%3D0%60ps%3D1&src_module=search&src_tab_page_id=page_search1715957484388&mallCode=1&pageListType=4,$14.90,,0,: Beige,,,SKU: st2404138888746786,//img.ltwebstatic.com/images3_spmp/2024/04/13/99/171298807031ba20a5b2413b8c599904d0830b58bd_thumbnail_900x.webp
Comfortable Thick-Soled One Foot Slip-On Rocking Shoes Soft Bottom Women Shoes Flat Shoes Khaki Color,https://us.shein.com/Comfortable-Thick-Soled-One-Foot-Slip-On-Rocking-Shoes-Soft-Bottom-Women-Shoes-Flat-Shoes-Khaki-Color-p-33573474.html?src_identifier=st%3D2%60sc%3Dshoes%60sr%3D0%60ps%3D1&src_module=search&src_tab_page_id=page_search1715957484388&mallCode=1&pageListType=4,$16.90,$21.20,0,: Khaki,,(500+ Reviews),SKU: sx2310298141659915,//img.ltwebstatic.com/images3_pi/2024/04/16/1a/17132723922d5f92a7195497a4d5074a2749ee3232_thumbnail_900x.webp
"New Spring Fashionable Casual Sports Style Thick-Soled Sneakers For Women, Korean Style Trainers",https://us.shein.com/New-Spring-Fashionable-Casual-Sports-Style-Thick-Soled-Sneakers-For-Women-Korean-Style-Trainers-p-29911923.html?src_identifier=st%3D2%60sc%3Dshoes%60sr%3D0%60ps%3D1&src_module=search&src_tab_page_id=page_search1715957484388&mallCode=1&pageListType=4,$22.90,$28.80,0,: Beige,,(15 Reviews),SKU: sx2401318579349193,//img.ltwebstatic.com/images3_spmp/2024/01/31/b9/1706673818a0c2d88ef9653765eabd40156a03cdf3_thumbnail_900x.webp
"Women Lace Up Casual Shoes, Sporty Outdoor Canvas Sneakers",https://us.shein.com/Women-Lace-Up-Casual-Shoes-Sporty-Outdoor-Canvas-Sneakers-p-13097303.html?src_identifier=st%3D2%60sc%3Dshoes%60sr%3D0%60ps%3D1&src_module=search&src_tab_page_id=page_search1715957484388&mallCode=1&pageListType=4,$13.00,$16.30,0,,,(36 Reviews),SKU: sx2302128416011119,//img.ltwebstatic.com/images3_pi/2023/02/13/1676253849eb1bc434bffa1365f0ce306da04210c8_thumbnail_900x.webp
